Alternativas	ECI_2019	Classe	Score_Global_EF	PIB (Bilhões, PPP)	1/Desemprego	Imposto_de_Renda	1/Inflação	Cresc_PIB_perCapita	Receitas/Despesas	Despesas_Educ(%PIB)	Taxa_Alfabetização	Despesas_P&D (%PIB)	Import_Bens_Serviços(%PIB)	GINI	1/População_favelas
Saudi Arabia	0.622651	2	60.84	1444.6298	0.164209005	10	0.519804553	0.112642572	1.194419978		99.34068807	0.86328	29.96579484		0.058479531
Senegal	-0.800691	3	57.6	66.3326	0.114202184	34	0.627431296	1.751133154	1.064079748	5.158516672	64.06730906	0.5772	36.73256238	39.2	0.030674847
Serbia	0.747382	2	64.96	204.3976	0.092919532	13.4	0.694058856	2.343105403	0.987275011	3.832793742	99.6759847	0.7984325	53.28001611	38.1125	0.277777785
Singapore	1.997381	1	88.34	483.968	0.217211868	22.6	3.144654088	1.813215851	1.332699596	2.817025018	99.89786869	2.02585	156.328171		
Slovak Republic	1.447869	1	66.62	163.2884	0.139738968	30	0.607090821	1.827559252	0.945426554	4.063252538		0.8539325	88.8255676	25.54444444	
Slovenia	1.636716	1	67.38	214.3042	0.098303285	49	0.58404392	1.101877335	0.920532121	5.159742415	99.80000305	2.24097125	71.01578343	25.08888889	0.270270267
South Africa	0.03067	2	59.2	968.0184	0.03934932	45	0.24559163	-0.691732801	0.868376764	6.133483076	98.20718511	0.773371429	27.64663308	63	0.040053405
Spain	0.806702	2	67.16	1523.511	0.072762199	41.2	0.598659004	-0.207696545	0.864781326	4.365101278	99.67237759	1.2520025	30.37048448	35.45555556	0.150375938
Sri Lanka	-0.245285	3	56.12	234.0232	0.111554852	24.6	0.21590811	3.280445641	0.7911692	2.183914989	98.82383537	0.113106	29.258778	39	
Sweden	1.748605	1	75.8	542.1124	0.142073708	57	0.673219335	0.654082719	1.013273108	7.420127511		3.24018625	40.65664417	28.81111111	999.9999525
Switzerland	2.131523	1	82.34	554.555	0.209881207	28.6	7.849293564	0.445672277	1.040357131	4.887233675		3.308603333	54.58723431	32.425	
Tajikistan	-0.736788	3	54.2	31.5038	0.098972664	13	0.149463426	4.350542402		5.11339862	99.90000153	0.11233125	49.36793556	34	0.038461538
Tanzania	-1.0031	3	60.52	172.522	0.459601066	30	0.244762091	2.772247039	0.818942913	3.683517051	85.84757233	0.51456	23.34199983	39.15	0.022641509
Thailand	1.146	1	67.54	1285.3214	1.177578898	35	2.760905577	1.896442013	1.050624253	3.774278932	98.19922638	0.613171667	58.29688097	36.73	0.040927694
Togo	-0.954406	3	53.38	14.5408	0.305922663	45	1.45137881	2.639828907	1.130052933	4.422848913	84.02248637	0.24489	47.35378934	43.83333333	0.018927445
